Open,High,Low,Close,Volume,Dividends,Stock Splits
1239.0999755859375,1240.449951171875,1221.5,1222.0,2802370,0.0,0.0
1266.0,1273.0,1243.5,1246.300048828125,14235970,0.0,0.0
1270.0,1277.3499755859375,1261.5999755859375,1263.6500244140625,8720682,0.0,0.0
1278.300048828125,1282.9000244140625,1268.699951171875,1277.0999755859375,10273590,0.0,0.0
1310.5,1313.0,1270.199951171875,1273.699951171875,14562976,0.0,0.0
1316.0,1316.0,1300.25,1305.449951171875,14040244,0.0,0.0
1322.25,1326.0,1285.0,1302.3499755859375,29366277,0.0,0.0
1258.9000244140625,1275.0,1251.300048828125,1266.449951171875,14117603,0.0,0.0
1244.949951171875,1257.0,1241.8499755859375,1252.199951171875,9578856,0.0,0.0
1244.0999755859375,1253.3499755859375,1227.25,1238.75,13095266,0.0,0.0
1230.0,1245.25,1226.4000244140625,1239.8499755859375,13764861,0.0,0.0
1253.8499755859375,1256.75,1236.0,1241.9000244140625,8120332,0.0,0.0
1267.0,1269.75,1248.050048828125,1254.75,12794704,0.0,0.0
1249.0,1271.050048828125,1245.3499755859375,1265.5,19346579,0.0,0.0
1222.0,1244.5,1221.25,1240.8499755859375,10070505,0.0,0.0
1253.949951171875,1262.0,1215.0,1218.0,14816766,0.0,0.0
1243.9000244140625,1262.050048828125,1235.5,1251.1500244140625,15521102,0.0,0.0
1221.25,1244.449951171875,1220.0,1241.800048828125,15486276,0.0,0.0
1214.8499755859375,1226.300048828125,1211.5999755859375,1221.25,5892590,0.0,0.0
1208.0,1219.0999755859375,1206.1500244140625,1215.449951171875,6405475,0.0,0.0
1216.4000244140625,1223.199951171875,1208.0999755859375,1210.699951171875,8818766,0.0,0.0
1218.300048828125,1227.9000244140625,1217.0,1221.050048828125,7000397,0.0,0.0
